2018-05-31 14:21:33 2792: INFO  Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
2018-05-31 14:21:33 2792: INFO  NioSelectorPool - Using a shared selector for servlet write/read
2018-05-31 14:21:33 2792: INFO  TomcatEmbeddedServletContainer - Tomcat started on port(s): 8090 (http)
2018-05-31 14:21:33 2792: INFO  ProviderApplication - Started ProviderApplication in 23.689 seconds (JVM running for 29.636)
2018-05-31 14:21:52 2792: INFO  [/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2018-05-31 14:21:52 2792: INFO  DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2018-05-31 14:21:52 2792: INFO  DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 48 ms
2018-05-31 14:21:59 2792: INFO  UserServiceImpl - Hi 1
2018-05-31 14:22:34 10056: INFO  AnnotationConfigApplicationContext - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@53b7f657: startup date [Thu May 31 14:22:34 CST 2018]; root of context hierarchy
2018-05-31 14:22:35 10056: INFO  AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-05-31 14:22:35 10056: INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$6af4cd7a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-05-31 14:22:37 10056: INFO  ProviderApplication - No active profile set, falling back to default profiles: default
2018-05-31 14:22:37 10056: INFO  AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6a10b263: startup date [Thu May 31 14:22:37 CST 2018]; parent: org.springframework.context.annotation.AnnotationConfigApplicationContext@53b7f657
2018-05-31 14:22:38 10056: INFO  RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2018-05-31 14:22:39 10056: INFO  GenericScope - BeanFactory id=2aae4a02-f0f3-35e5-81e3-679ee8dc5dcd
2018-05-31 14:22:39 10056: INFO  AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-05-31 14:22:39 10056: INFO  PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.haier.btb.demo.service.geteway.RemoteDemoServiceClient' of type [org.springframework.cloud.netflix.feign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
